Model,Title,Rating(scaled to 5),Reveiw,Reviewer,Date,url
KIA SELTOS,The best car ever.,5,Amazing features and excellent performance. It churns an ultimate mileage and makes this car the best car ever.,By Anonymous,"On: Dec 26, 2019 | 10 Views",www.cardekho.com
KIA SELTOS,Excellent car.,5,This car has been the best SUV ever I have selected It has fully come up with my expectations Bold modular design and looks are an awesome excellent response from steering Smooth ride quality Good average performance Excellent space Excellent cooling Smart air purification works perfectly Mood lights look awesome,By Dewansh Bawa,"On: Dec 25, 2019 | 26 Views",www.cardekho.com
KIA SELTOS,Brilliant SUV.,4,I am very much interested to buy this car. perfect SUV for small families like me. KIA just made a brilliant SUV.,By Bikash Jyoti,"On: Dec 25, 2019 | 16 Views",www.cardekho.com
KIA SELTOS,Performance car.,5,"The car has an amazing performance, this car makes me happy I love this car.",By Gaming With Pritish Amazed,"On: Dec 25, 2019 | 11 Views",www.cardekho.com
KIA SELTOS,GREAT CAR.,5,"I found this car amazing in its segment having an amazing interior, eye-catching color, smooth steering, and good boot space.    ",By Pankaj Mahanta,"On: Dec 25, 2019 | 12 Views",www.cardekho.com
KIA SELTOS,Best drive quality.,5,This is the best car when it comes to safety features. The drive quality of the car is amazing.,By Lingaraju Lingaraju,"On: Dec 25, 2019 | 10 Views",www.cardekho.com
KIA SELTOS,The best car in the segment.,5,"Kia Seltos is the best car with the best price, best in looks the price perfect matches with the product.",By Gaurish Rana,"On: Dec 25, 2019 | 13 Views",www.cardekho.com
KIA SELTOS,Excellent car.,5,The car has gorgeous design along with great performance. The interior is premium riched and it is excellent for long drives.,By Subhash Patel,"On: Dec 25, 2019 | 8 Views",www.cardekho.com
KIA SELTOS,Kia Seltos is the Car of the Year.,5,"Kia Seltos is the car of the year. Its design is fantastic, features are fantastic, refinement is excellent, NVH level is Superb, ride quality is superb and diesel manual mileage is excellent, seat comfort is superb, the back seat of this vehicle occupies 3 people comfortably. The drive is really convenient in heavy traffic with automatic gear and it's easy to ride on Indian roads. Kia Seltos is a good luxury SUV at a valuable price. Extraordinary features like heartbeat DRLs and Sweeping LED Bars and All LED Headlight, build quality is excellent with attractive features in the SUV. This SUV feels more premium SUV in the segment.",By Druk Garsha,"On: Dec 25, 2019 | 93 Views",www.cardekho.com
KIA SELTOS,Best car.,5,"It is the best car under its budget, the headlamp was based on the advance concept it is full of function.",By Poonam Devi,"On: Dec 25, 2019 | 7 Views",www.cardekho.com
KIA SELTOS,Great car.,3,Great pick up but comfort is not up to the mark and looks are also great. Better space than Creta.,By Ruby Swarnlata,"On: Dec 25, 2019 | 5 Views",www.cardekho.com
KIA SELTOS,Great car.,5,"The best one when compared with others in the same segment. Also, known as a family car.",By Manoj Kumar Chandel,"On: Dec 24, 2019 | 9 Views",www.cardekho.com
KIA SELTOS,Excellent car.,4,"An Indian car with great safety features. Also, comfortable and the build quality is amazing.",By Chandu Kumar,"On: Dec 24, 2019 | 7 Views",www.cardekho.com
KIA SELTOS,Awesome car.,5,"Awesome car, great features as compared to Jeep Compass and MG Hector. Absolutely, a lovely car. Disadvantages:- 1- Suspension is not soo good, it is ok but you need to work on grip and control of the car. Advantages:- 1- Delivers ultimate mileage and has great performance.",By Abhinav Singla,"On: Dec 24, 2019 | 259 Views",www.cardekho.com
KIA SELTOS,Perfect by many means.,4,"Its design is fantastic, looks are amazing, features are impressive, refinement is excellent, NVH levels are superb, ride quality is ultimate and can be easily compared to my Innova Crysta. The diesel manual mileage is excellent, seat comfort is superb. Back seat of this vehicle occupies 3 people comfortably. The boot space has enough for luggage of five people for a short trip. I can assure you that, this vehicle has one of the best ride quality which can be easily comparable to my Innova Crysta in terms of ride quality. Seltos is a breeze to drive. I drove the petrol GT line also for short distances, and it is also a great variant to own. You can go for either variant as per your needs and choice. Both variants are great. Diesel is giving me 17kmpl overall at present for 60% highway and 40% city drive with AC 100% on. I hope, the mileage will definitely increase after the second service(oil change) to 19kmpl overall. It is also embedded with a smart air purifier with perfume diffuser which is added as an advantage. AC is powerful and works fantastic. In my opinion, there is no competitor for Seltos, when it comes to the overall package. Highly recommended.",By Kunal Marwah,"On: Dec 24, 2019 | 169 Views",www.cardekho.com
KIA SELTOS,Excellent perfect SUV,5,"Excellent car in India Low budget me the high class car I love this car & my Dream car, JUST GO FOR THIS VEHICLE BLINDLY. YOU CAN PURCHASE ANY VARIANT DEPENDING UPON YOUR NEEDS, AND I CAN ASSURE YOU THAT, MOST OF YOU WILL BE VERY PLEASED TO OWN THIS VEHICLE. Go and purchase now This 😇 angel car Thank",By Vikash Choudhary,"On: Dec 23, 2019 | 1254 Views",www.cardekho.com
KIA SELTOS,Great car.,5,"Kia Seltos is not only the most feature-packed car in the segment, but it's also fun-to-drive and looks very good too.",By Brijesh Kindre,"On: Dec 24, 2019 | 26 Views",www.cardekho.com
KIA SELTOS,The beautiful car.,5,Amazing car as the interiors and the exteriors are amazing.,By Atharva Kushare,"On: Dec 23, 2019 | 10 Views",www.cardekho.com
KIA SELTOS,Great car.,4,The real off-road car as it can be driven in the rural areas as well. It's cost-efficient and the performance is amazing.,By L N,"On: Dec 23, 2019 | 9 Views",www.cardekho.com
KIA SELTOS,A perfect & complete car.,5,Wonderful comfort and features. The engine is awesome. A perfect blend of practicality and cosmetics. It has ample storage and enough room for 5 passengers. It can be called a true SUV because of the given ground clearance.,By Ashutosh,"On: Dec 23, 2019 | 40 Views",www.cardekho.com
KIA SELTOS,Excellent looks.,5,"Amazing suspension and runs smoothly, however, the price is too high.",By Rohan Pakhe,"On: Dec 23, 2019 | 8 Views",www.cardekho.com
KIA SELTOS,The future is here.,5,Kia Seltos is a luxury car who's exterior and interior gives the feel of cars like Range Rover. It is the best car in its segment. Seltos is an efficient car for a family. Its center console is so premium and the sunroof is amazing. The Bose music system is the best thing in the car.,By Uday Jhunjhunwala,"On: Dec 23, 2019 | 45 Views",www.cardekho.com
KIA SELTOS,Most selling car after lunch,5,"Kia Seltos is Superb car with excellent technology. A very nice car in this segment with all the attractive features. Also, t is the most selling after lunch.",By Dawinder Singh,"On: Dec 23, 2019 | 89 Views",www.cardekho.com
KIA SELTOS,The best car of the year,5,Kia Seltos is a good luxury vehicle at Valuable rate. Extraordinary front DRLS and headlight lamps. Good build quality with attractive look getting in this car. Impressing interiors provided by the brand in this car.,By Suhail Al Azzah,"On: Dec 22, 2019 | 334 Views",www.cardekho.com
KIA SELTOS,Not so attractive car,4,Kia Seltos is not so attractive in terms of look but still most of the people like it. I rated this car at 4.5. ,By Sahil Shaikh,"On: Dec 23, 2019 | 61 Views",www.cardekho.com
KIA SELTOS,Kia The best,4,The stylish look of this car attracts so much to the people this car is impressive in its own way such a gangsta feeling when I see it moving in fast speed the interior of this car is so much classy This car gives you a royal feeling while driving and limbs of this car are excellent seats are also so comfortable this car in mid-range makes it attract more people so definitely buy this car!,By Anonymous,"On: Dec 21, 2019 | 334 Views",www.cardekho.com
KIA SELTOS,One of the best mid size SUV,5,"Seltos is near perfect vehicle by many angles. Its design is fantastic, looks are fantastic, features are fantastic, refinement is excellent, ride quality is superb and easily comparable to my Innova Crysta, diesel manual mileage is excellent, seat comfort is superb.",By Vrujal Mevada,"On: Dec 21, 2019 | 227 Views",www.cardekho.com
KIA SELTOS,Best car in this segment,5,"Firstly I think Creta is the best car in the mid SUV segment but when Kia launches its beast nothing other than Seltos. It crosses over every mid-range SUVs in the aspect of performance, looks, power, features, and many more features getting in this car.",By Piyush Pogakwar,"On: Dec 22, 2019 | 303 Views",www.cardekho.com
KIA SELTOS,I love this car,5,"Best features and look at, best engine performance and my favorite car in 2019.",By Satyapalsinh,"On: Dec 22, 2019 | 65 Views",www.cardekho.com
KIA SELTOS,Great car at 20 lakhs,5,Great build quality comfort is highest on its segment You can change lanes at 140 kmph too. It feels like a heavy car but gives confidence on the road.,By Karthik,"On: Dec 21, 2019 | 77 Views",www.cardekho.com
KIA SELTOS,BS6 Seltos Performance,5,"Best car of the year, awesome design, good space, and interior also. Good performance was amazing with BS6 engine.",By Abhijit Jadhav,"On: Dec 21, 2019 | 57 Views",www.cardekho.com
KIA SELTOS,Best car in the world,5,"Best car, luxury car in the small budget, this is the wonderful experience best car in the world.",By Aryan Darji,"On: Dec 21, 2019 | 46 Views",www.cardekho.com
KIA SELTOS,Amazing car,5,"This car is amazing, I love the drive quality and when driving the interior design of the car is very super and the car is very nice.",By Ganesh Ch,"On: Dec 21, 2019 | 52 Views",www.cardekho.com
KIA SELTOS,Excellent Compact SUV,5,Excellent car superb facility inbuilt. Camera and other excellent features which we get in 30 lacs plus car.,By Krunal,"On: Dec 21, 2019 | 57 Views",www.cardekho.com
KIA SELTOS,Budget-friendly car,4,Kia Seltos has all the best feature in this price range. It is a very attractive look and the most demanding car in this segment.,By Gulshan Singh Bharti,"On: Dec 22, 2019 | 57 Views",www.cardekho.com
KIA SELTOS,Good but doesn't deserve 5 stars,4,"Seltos, in the price, is a very good car someone can get. Everything in it is pretty good but being a new company, the after-sales service that you'll get may leave you unsatisfied. Also, suspension in it is a bit on the harder side, it pumps back the vehicle and this is the only reason I've given it 4 stars because when we buy a car, with power, looks and features we tend to find comfort, which is a major reason of selecting a particular car. Yet the tyres used are too slim in such a heavy vehicle and after paying a huge amount of money. This doesn't give the feel of drive which you can get in some other vehicles in the same price range. So I'd say you can check other vehicles too if you're looking for a MUV at this range. Prolly Hector will be the best with head on head with Creta.",By Harsh Baranwal,"On: Dec 20, 2019 | 1040 Views",www.cardekho.com
KIA SELTOS,Best Compact SUV,5,Worth Buying it. Value for money. Fully loaded with next-level features (in comparison to prevailing features in the market). Great mileage is there so you can take it to a longer distance and do good off-roading. Available in exciting colors. After-sales service is also good. If you people are looking for compact SUV that it will be one of the best options amongst Hyundai Creta and MG Hector.,By Pranshu Agrawal,"On: Dec 20, 2019 | 865 Views",www.cardekho.com
KIA SELTOS,Lovely Car Seltos,5,"Best car, stylish, futuristic and fantastic car. I like this car very much. It has good mileage and also has a great engine. It's tiger-nose grill is so good. It gives a bold look to the car. It's bose infotainment system is very very good. The response of the touch screen is so fast. In Seltos, Kia gives a lot of features at a very good price.",By Chetan Bal,"On: Dec 20, 2019 | 3507 Views",www.cardekho.com
KIA SELTOS,Value for money SUV,5,The very impressive driving experience such a cool SUV at a very affordable rate. The off-road drive experience is also much better. Finally a super feature car in the Indian market.,By Mohit Burrak,"On: Dec 20, 2019 | 713 Views",www.cardekho.com
KIA SELTOS,Value for Money,4,It has a premium interior. Its exterior is muscular and looks more than a compact SUV. It's loaded with features and the car is a value for money.,By Amal Madathara,"On: Dec 20, 2019 | 67 Views",www.cardekho.com
KIA SELTOS,Its a good looking and reliable car with good power.,5,Kia Seltos is a great car. Having fully loaded features of next-generation and the best thing about it is the looks those DRLs which glow all the way from left to right. Even the engine power is best in class. Which could be easily seen on the roads nowadays and on their booking lists. The Kia motors gave a tough competition. It shook the whole market with its Seltos. The only thing I didn't like is the logo it should be somewhat different.,By Shivam,"On: Dec 20, 2019 | 207 Views",www.cardekho.com
KIA SELTOS,Enter the World of Seltos,5,"The front end of the Seltos is particularly impressive. The huge Tiger Nose grille is Kia's design trademark, has a knurled aluminium finish, with a contrasting black plastic grille. Pair this with large sweeping headlights and turn indicators, along with vertically placed fog lamps, and the Seltos cuts a fine figure, with imposing road presence.",By Upinder Pal Singh,"On: Dec 20, 2019 | 152 Views",www.cardekho.com
KIA SELTOS,Low budget SUV,4,"It's really hard to explain, I think its good for a middle-class family and it looks like a luxury one.",By User,"On: Dec 20, 2019 | 54 Views",www.cardekho.com
KIA SELTOS,Excellent Car with Budget Friendly,5,"I had driven my Seltos of around 10000 km and still, it is very smooth and fun to drive I am very happy with my decision.",By Dev Verma,"On: Dec 20, 2019 | 97 Views",www.cardekho.com
KIA SELTOS,Great vehicle for great value,5,Very feature loaded vehicle that blows your mind and very useful in day to day life. Comfort level is also great at this price point.,By Mihir Yadav,"On: Dec 20, 2019 | 60 Views",www.cardekho.com
KIA SELTOS,Excellent Car,5,"The interior is excellent with cam, seating, and advanced technology. The Kia Seltos also comes with ventilated seats, 2-step reclining rear seats, electric sunroof, push-button start, electrically adjustable driver's seat, auto climate control, keyless entry, and a 360-degree camera. The safety tech adds six airbags, ABS with EBD, front and rear parking sensors, ESP, hill hold control and blind view monitor. The car uses advanced high strength steel in its construction for improved safety.",By Manikanta,"On: Dec 19, 2019 | 145 Views",www.cardekho.com
KIA SELTOS,Best in class SUV . Worth buying Kia Seltos.,5,"I tried to ignore writing a review of the car. But the quality, performance and overall comfort of the car forced me to do so. I am here writing about Kia Seltos. Using this car for a bit now with decent 10000km on record. The car will not at all disappoint you in terms of pickup and driving comfort. The seats hold you so well and on top of it the response that you get from the steering. Really impressed. I have also driven another SUV's like Creta, Nissan kicks Mahindra XUV. But Kia has really made its presence and you will feel that in every term of the car. Drove the car on hilly terrain and the motor inside it gives you that punch even if driving on a steep upward hill. No power lag nothing. It's worth buying no second thoughts to look around. Best in class.",By Nik,"On: Dec 19, 2019 | 165 Views",www.cardekho.com
KIA SELTOS,Korean Beauty,5,"The best you can have out of mid-class SUV, the interior is just ravishing like exterior and compliment each other, boss music system is par excellence. My favourite colour is white with black out roof and GT line has its own charm with HUD(heads up display). Only holding back is that it's available in petrol, I hope soon diesel version would be here in GT.",By Law Officer,"On: Dec 19, 2019 | 110 Views",www.cardekho.com
KIA SELTOS,Kia Seltos the best car of 2019!,5,"The best car of 2019 hands down. The features and the price is beyond the world, love everything about it. Especially the heads-up display and the sunroof. All the variants are BS6 compliant and all of the variants of the car are nicely put up and all of them are feature-loaded too. The lights on the cars look like something else completely and it's distinct from every other car. 100/100 to Kia Seltos.",By Viraj Soni,"On: Dec 19, 2019 | 82 Views",www.cardekho.com
KIA SELTOS,Overall an Excellent Car,5,"Excellent car for India. Whomsoever wants to buy a car, please go for this car definitely you will enjoy and also the best price with a luxury experience.",By Shreyas Ramesh,"On: Dec 18, 2019 | 55 Views",www.cardekho.com
KIA SELTOS,"Very well Built, Feature Loaded and Value for Money offering from...",5,"It is a very well built car with value for money proposition. It also comes loaded with best in class features, some of which are first in its segment and most importantly it is the safest car available in its segment. It is also the most attractive and stylish car with a lot of youth appeal and is bound to turn a lot of eyeballs on the road.",By Subhankar Nandi,"On: Dec 19, 2019 | 60 Views",www.cardekho.com
KIA SELTOS,Fantastic Design,5,"Its design is fantastic, looks are fantastic, features are fantastic, refinement is excellent, NVH levels are superb, ride quality is superb and diesel manual mileage is excellent, seat comfort is superb. The back seat of this vehicle occupies 3 people comfortably.",By Rajesh Sanapala,"On: Dec 19, 2019 | 150 Views",www.cardekho.com
KIA SELTOS,Value For Money,4,"The engine is smooth, strong and very likable. Also, the 7-speed dual-clutch auto that is responsive and quick to shift. overall value for money.",By Zafeer-ali,"On: Dec 19, 2019 | 60 Views",www.cardekho.com
KIA SELTOS,Cool car with low cost,5,"Nice car, comfortable to drive at this price range and with such a big display loves the features.",By Bharat,"On: Dec 19, 2019 | 56 Views",www.cardekho.com
KIA SELTOS,Power Delivery car,5,Nice car with power delivery. Nice Led tail lamps. It gives you pleasure while driving. You can blindly opt for this car. ,By Awadhesh Jindal,"On: Dec 19, 2019 | 56 Views",www.cardekho.com
KIA SELTOS,The Wonderful Car,5,"This is the most beautiful car, The design of the Kia Seltos is much richer and newer than other SUV vehicles in India, as well as being sporty. Very good quality has been used in this. Its front is a quite bold while from the side and back it looks quite premium.",By Sharik,"On: Dec 17, 2019 | 784 Views",www.cardekho.com
KIA SELTOS,The lovely car.,4,"The price-performance ratio is better than MG, Creta and other opponents as its size and modern features are very reliable. The wireless charger is also not a common feature. Its infotainment system is of Bose which is commendable. Also, it's an affordable car of its segment.",By Neeti Shrivas,"On: Dec 18, 2019 | 510 Views",www.cardekho.com
KIA SELTOS,The greatest car.,5,Excellent car in the market. Has shaken the automobile market by its features and performance. The biggest competitor in the field of automobiles.,By Aritta Sinha,"On: Dec 18, 2019 | 56 Views",www.cardekho.com
KIA SELTOS,Great car.,5,Runs smoothly and has great looks.,By Kharodiya Mohammadali,"On: Dec 18, 2019 | 49 Views",www.cardekho.com
KIA SELTOS,The super car.,5,Super looks and excellent engine. Better experience at a lower price.,By Sachin Sachi,"On: Dec 18, 2019 | 45 Views",www.cardekho.com
KIA SELTOS,The best car in the segment.,5,Amazing car with new technology updates and runs smoothly.,By Nimit Gupta,"On: Dec 18, 2019 | 54 Views",www.cardekho.com
KIA SELTOS,Amazing car so far.,5,"In one word it's a superb car. The interior and exterior both are superb and have a good suspension. Good space, color combination is also good and look-wise it's superb. The driving experience is ultimate so far. Highly recommended.",By Gaurav Shrivastava,"On: Dec 17, 2019 | 178 Views",www.cardekho.com
KIA SELTOS,Amazing performance.,5,The car's performance is superb and its engine is so powerful. It's interior is luxurious and runs smoothly.,By Darshan Solanki,"On: Dec 17, 2019 | 49 Views",www.cardekho.com
KIA SELTOS,The Kia muscle on wheels,3,5he car nice spacious. The infotainment system is also great .the first in segment thing is the air 1uality control system and the bs6 engine.,By Shriram Rajpurohit,"On: Dec 17, 2019 | 48 Views",www.cardekho.com
KIA SELTOS,Great features and body,4,Nice look & features as well. Not all good features available in all the top models. Hi-tech. support features.,By Vivek Nair,"On: Dec 17, 2019 | 60 Views",www.cardekho.com
KIA SELTOS,Love you Seltos,4,"Very wonderful design and technical development are too high this type of car, and also so many features available in the vehicle, more options and more model, vehicle looking is good. I'm seen the car at road very nice and fantastic road presence, one of the my lovely car of this segment, thanks to KIA motors I'm waiting for next Carnival car, also need your finances scheme and offer for upcoming month because of India people's expected in this type of offers, Fall in Love this car, thanks for legend Kia motor, one of the day I'm seeing a wonderful day, and also provide low-level price in this market please let me know if you best in Seltos car, love you Seltos love you so much buddy.",By Ramesh,"On: Dec 16, 2019 | 588 Views",www.cardekho.com
KIA SELTOS,Complete value for money,5,"I am proud of the owner of the Kia Seltos HTK+ petrol variant, it is the most comfortable car in its segment as well as has great driving and handling characteristics. Kia has provided all the necessary features at a competitive price but I feel that it should have provided some features like armrest and charging port for rear passengers too in this particular model. Overall it is a great car and could have improved in the back seat experience at this price.",By Aviral,"On: Dec 17, 2019 | 1711 Views",www.cardekho.com
KIA SELTOS,Kia is the best car maker,5,The best car made by Kia. Seltos give excellent performance and also well comfort. The look of the car is also beautiful.,By Thelazykiller,"On: Dec 17, 2019 | 37 Views",www.cardekho.com
KIA SELTOS,Amazing beast.,5,Excellent car with top-notch features. Best in its class driving experience. High comfort level and space.,By Akshay Purohit,"On: Dec 17, 2019 | 38 Views",www.cardekho.com
KIA SELTOS,The brilliant car I've ever see.,5,It's a brilliant 5 seated car with heavy power and excellent fuel mileage. It's look is pretty awesome.,By Souravshree Pradhan,"On: Dec 17, 2019 | 42 Views",www.cardekho.com
KIA SELTOS,Good car at this price.,4,Great car to drive and good proportions. There is less body roll at the back. Superb interiors and great tech inside. I heard quite a few comments that servicing is not that great but I have never experienced such an issue. Overall it's good.,By Akhil Ganapathy,"On: Dec 17, 2019 | 106 Views",www.cardekho.com
KIA SELTOS,The beautiful car.,5,"Excellent car specification, head-lamp display, alloy wheels are very good and the design is amazing.",By Abhiram Karua,"On: Dec 16, 2019 | 35 Views",www.cardekho.com
KIA SELTOS,A perfect family car.,5,"Kia Seltos is a great car with good mileage, low maintenance cost and fully feature-loaded car. Amazing body design and perfect interior getting in this car.",By Ankit,"On: Dec 16, 2019 | 37 Views",www.cardekho.com
KIA SELTOS,Value for Money Car,4,"Good ride quality, refined engine, and 1.4 petrol motor is a blast to drive. Build quality gives a premium feel. Nice and spacious cabin well-built car.",By Animesh Singh,"On: Dec 16, 2019 | 52 Views",www.cardekho.com
KIA SELTOS,A Very nice car,5,Kia Seltos is a nice car. Also getting very nice interior and exterior in this vehicle.  ,By Ashif Khan,"On: Dec 16, 2019 | 30 Views",www.cardekho.com
KIA SELTOS,"Amazing Design, Interior and Sound System",5,This car is a very wonderfully design by Kia motors. Its headlights are very attractive and the front view of the car is very amazing. Kia Motors are giving the best function in this car of a 360-degree rotating parking camera with sunroof and also 6 airbags. The wooden finish in the interior of this car is very fabulous. Very luxurious sitting in the car.,By Kunal Kothawade,"On: Dec 16, 2019 | 1091 Views",www.cardekho.com
KIA SELTOS,Perfect Car For Indian Roads,4,"Superb car, it will be a good experience to drive a car like this and it will be ruling on Indian Road in the future. The taught of innovation to make this car for Indians very thankful. The technology used in this car is best for the price tag they have. The shape is the perfect SUV in the market. The LED lights front light everything is perfectly clear and the interior of the car is very much impressive. The much-needed car of the Indian road is Kia Seltos.",By Aravind,"On: Dec 15, 2019 | 121 Views",www.cardekho.com
KIA SELTOS,Superb Mileage and Looks,5,This car is superb for mileage and looks stylish and furious. This is an awesome car.,By Pawan Pawar,"On: Dec 15, 2019 | 152 Views",www.cardekho.com
KIA SELTOS,A Family Car For Travelers,5,"It is so well designed and comfortable car. I am glad to see such a car in that budget. First I had a Honda City but KIA is better than it. I and my whole family are enjoying it. It is also perfect for long journeys and from one state to another journey. I also like traveling, so I recommend all this car for travelers. Thank you.",By Gg Indian Gamer,"On: Dec 15, 2019 | 107 Views",www.cardekho.com
KIA SELTOS,Poor Suspension Car,1,"Poor suspension setup. Stiff suspension gives jerks even on smaller bumps. I am surprised why people ignored this. Suspension of Creta is better, best indeed.",By Sahil Narula,"On: Dec 15, 2019 | 40 Views",www.cardekho.com
KIA SELTOS,Bold car Kia Seltos,5,"Nice and bold car Kia Seltos. Looking beautiful, nice shapes and aggressive looks. ",By Gurpreet,"On: Dec 16, 2019 | 30 Views",www.cardekho.com
KIA SELTOS,Best Car with High End Features,4,"Best car with high end features in a medium budget. When this car was launched in India it beat the Tata Harrier and MG Hector but it has a common exterior design that looks like Creta. It doesn't give a fresh look. Peopld liked it because of high features in this car with some more expenses. Due to high sales in India, this company became India's fifth automobile company.",By Deshu Meena Raaj,"On: Dec 16, 2019 | 159 Views",www.cardekho.com
